trace_id,seed,pattern_label,baseline_integrated_lufs,constrained_integrated_lufs,delta_integrated_lufs,baseline_lra_lu,constrained_lra_lu,delta_lra_lu,baseline_onset_density_eps,constrained_onset_density_eps,delta_onset_density_eps,tempo_clamped,gain_clamped,accent_clamped,tempo_delta,gain_delta,accent_delta
batch_exploratory_0000,0,exploratory,-12.095930712109626,-11.974034004460167,0.12189670764945859,3.8179169083130695,2.7024767405461745,-1.115440167766895,1.45,1.3166666666666667,-0.1333333333333333,1,0,1,-10,0.0,-0.08452200303486601
batch_exploratory_0001,0,exploratory,-12.184608597600498,-12.08522842264076,0.09938017495973739,4.048438436956591,2.702476720883297,-1.345961716073294,1.45,1.3166666666666667,-0.1333333333333333,1,0,1,-10,0.0,-0.13566121842496826
batch_exploratory_0002,0,exploratory,-12.795524605434496,-12.712029390600863,0.08349521483363276,3.9471768813006083,2.702476726021823,-1.2447001552787853,1.45,1.3166666666666667,-0.1333333333333333,1,0,1,-10,0.0,-0.1147798742137347
batch_exploratory_0003,0,exploratory,-13.752125161961226,-13.613562968273175,0.13856219368805078,3.3356182855055128,2.7024767237154492,-0.6331415617900635,1.4166666666666667,1.3166666666666667,-0.10000000000000009,1,0,1,-9,0.0,-0.029902642559163972
batch_exploratory_0004,0,exploratory,-18.461466120620223,-18.749467248846823,-0.2880011282266004,2.7256673644552833,2.059471964469676,-0.6661953999856074,1.0333333333333334,1.2166666666666666,0.18333333333333313,1,0,1,20,0.0,-0.15604998476074317
batch_exploratory_0005,0,exploratory,-11.465718340720967,-11.329364201416585,0.13635413930438212,4.050994480069015,2.70247672694728,-1.348517753121735,1.45,1.3166666666666667,-0.1333333333333333,1,0,1,-10,0.0,-0.1289999999999749
batch_exploratory_0006,0,exploratory,-12.558499030860325,-12.394572064257465,0.16392696660286,3.4146536525494007,2.7024767234366127,-0.712176929112788,1.45,1.3166666666666667,-0.1333333333333333,1,0,1,-10,0.0,-0.0202890494719139
batch_exploratory_0007,0,exploratory,-11.561952994938498,-11.36637794625202,0.1955750486864769,3.305199213764249,2.702476725259105,-0.6027224885051439,1.45,1.3166666666666667,-0.1333333333333333,1,0,1,-10,0.0,-0.007317073170761024
batch_exploratory_0008,0,exploratory,-18.50250743626856,-18.65587674382987,-0.15336930756131295,2.483134516018115,2.059471964736595,-0.4236625512815202,1.0333333333333334,1.2166666666666666,0.18333333333333313,1,0,1,20,0.0,-0.09646675964667417
batch_exploratory_0009,0,exploratory,-12.705160944059775,-12.605986810931618,0.09917413312815704,3.929455000094025,2.702476734719193,-1.2269782653748322,1.45,1.3166666666666667,-0.1333333333333333,1,0,1,-10,0.0,-0.12052248855375103
batch_exploratory_0010,0,exploratory,-12.597135240852472,-12.605358875349166,-0.008223634496694388,4.5386782892945625,2.702476727078114,-1.8362015622164485,1.45,1.3166666666666667,-0.1333333333333333,1,0,1,-10,0.0,-0.23406829792958783
batch_exploratory_0011,0,exploratory,-11.365439430087056,-11.231501839282307,0.13393759080474865,3.65118913511054,2.702476730467552,-0.948712404642988,1.45,1.3166666666666667,-0.1333333333333333,1,0,1,-10,0.0,-0.06590450571619655
batch_exploratory_0012,0,exploratory,-13.821421647781284,-13.971716750725236,-0.15029510294395187,3.3517749598617286,2.795856795879672,-0.5559181639820565,1.3,1.3,0.0,0,0,1,0,0.0,-0.1394786630229422
batch_exploratory_0013,0,exploratory,-13.842332239542023,-13.876058465041556,-0.03372622549953341,3.092721102663484,2.8534464640724213,-0.23927463859106268,1.2833333333333334,1.2833333333333334,0.0,0,0,1,0,0.0,-0.053542009884725794
