trace_id,seed,pattern_label,baseline_integrated_lufs,constrained_integrated_lufs,delta_integrated_lufs,baseline_lra_lu,constrained_lra_lu,delta_lra_lu,baseline_onset_density_eps,constrained_onset_density_eps,delta_onset_density_eps,tempo_clamped,gain_clamped,accent_clamped,tempo_delta,gain_delta,accent_delta
batch_exploratory_0000,0,exploratory,-12.095930712109626,-12.095625771439687,0.0,3.8179169083130695,3.8274456093090734,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0001,0,exploratory,-12.184608597600498,-12.182571009320986,0.0,4.048438436956591,4.091626474503919,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0002,0,exploratory,-12.795524605434496,-12.806458440947319,0.0,3.9471768813006083,3.9864558523307245,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0003,0,exploratory,-13.752125161961226,-13.74406071289877,0.0,3.3356182855055128,3.3348105306123497,0.0,1.4166666666666667,1.4166666666666667,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0004,0,exploratory,-18.461466120620223,-18.518762032387386,0.0,2.7256673644552833,2.8036201908297222,0.0,1.0333333333333334,1.0333333333333334,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0005,0,exploratory,-11.465718340720967,-11.42923457458734,0.0,4.050994480069015,4.050994483729362,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0006,0,exploratory,-12.558499030860325,-12.569384395699158,0.0,3.4146536525494007,3.3326107710291613,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0007,0,exploratory,-11.561952994938498,-11.562482972974438,0.0,3.305199213764249,3.3051992201203877,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0008,0,exploratory,-18.50250743626856,-18.50732251390523,0.0,2.483134516018115,2.5742088512864,0.0,1.0333333333333334,1.0333333333333334,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0009,0,exploratory,-12.705160944059775,-12.701380751374094,0.0,3.929455000094025,3.98645586007755,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0010,0,exploratory,-12.597135240852472,-12.594081920119386,0.0,4.5386782892945625,4.502954048707789,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0011,0,exploratory,-11.365439430087056,-11.380241408805144,0.0,3.65118913511054,3.6613166605444096,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0012,0,exploratory,-13.821421647781284,-13.818912141656215,0.0,3.3517749598617286,3.3280953790880012,0.0,1.3,1.3,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0013,0,exploratory,-13.842332239542023,-13.830750560674874,0.0,3.092721102663484,3.108610286270075,0.0,1.2833333333333334,1.2833333333333334,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0014,0,exploratory,-13.494757283911982,-13.494519557309332,0.0,3.3393123556978868,3.2776709647966715,0.0,1.4,1.4,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0015,0,exploratory,-13.79122861510263,-13.80297539207693,0.0,3.422483885796286,3.4089808050780963,0.0,1.3333333333333333,1.3333333333333333,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0016,0,exploratory,-13.105360303623327,-13.088119344661267,0.0,3.8163148712524553,3.857758584842495,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0017,0,exploratory,-13.788497880847823,-13.78348579939207,0.0,3.107558774111828,3.0485897066242416,0.0,1.3,1.3,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0018,0,exploratory,-11.82945461785119,-11.814592044271352,0.0,3.5396005959744734,3.565218128312617,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0019,0,exploratory,-11.148744958905702,-11.144286810408367,0.0,4.11619140409246,4.09162646593251,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0020,0,exploratory,-17.98037150674627,-17.95753885835826,0.0,2.7169075039468282,2.7640995910891917,0.0,1.0833333333333333,1.0833333333333333,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0021,0,exploratory,-12.302034055466633,-12.29980754275084,0.0,3.8501523893749514,3.800983136813473,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0022,0,exploratory,-13.61139188618606,-13.61716912183204,0.0,3.1026326117345135,3.0822415236268554,0.0,1.4,1.4,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0023,0,exploratory,-13.173502904391453,-13.182404865144827,0.0,4.073913319911924,4.1039822896860265,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0024,0,exploratory,-18.727664230985955,-18.65030452317713,0.0,2.8162771578481447,2.7387404575692322,0.0,1.0333333333333334,1.0333333333333334,0.0,0,0,0,0,0.0,0.0
