trace_id,seed,pattern_label,baseline_integrated_lufs,constrained_integrated_lufs,delta_integrated_lufs,baseline_lra_lu,constrained_lra_lu,delta_lra_lu,baseline_onset_density_eps,constrained_onset_density_eps,delta_onset_density_eps,tempo_clamped,gain_clamped,accent_clamped,tempo_delta,gain_delta,accent_delta
batch_exploratory_0000,0,exploratory,-12.095930712109626,-13.768630431025516,-1.67269971891589,3.8179169083130695,0.85652250715383,-2.9613944011592395,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.4865209726592825,-0.48452200303486603
batch_exploratory_0001,0,exploratory,-12.184608597600498,-13.768630431025516,-1.5840218334250178,4.048438436956591,0.85652250715383,-3.191915929802761,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.3753265538213326,-0.5356612184249683
batch_exploratory_0002,0,exploratory,-12.795524605434496,-13.768630431025516,-0.9731058255910199,3.9471768813006083,0.85652250715383,-3.0906543741467782,1.45,1.3,-0.1499999999999999,1,1,1,-14,-0.7485255871525567,-0.5147798742137347
batch_exploratory_0003,0,exploratory,-13.752125161961226,-13.921638422217269,-0.16951326025604274,3.3356182855055128,0.8565225071876732,-2.4790957783178396,1.4166666666666667,1.3,-0.1166666666666667,1,0,1,-13,0.0,-0.429902642559164
batch_exploratory_0004,0,exploratory,-18.461466120620223,-18.955562000661278,-0.49409588004105487,2.7256673644552833,0.7166065235066661,-2.0090608409486173,1.0333333333333334,1.2833333333333334,0.25,1,1,1,24,0.3059109556495052,-0.5560499847607432
batch_exploratory_0005,0,exploratory,-11.465718340720967,-13.768630431025516,-2.302912090304549,4.050994480069015,0.85652250715383,-3.194471972915185,1.45,1.3,-0.1499999999999999,1,1,1,-14,-2.1311907763039524,-0.5289999999999749
batch_exploratory_0006,0,exploratory,-12.558499030860325,-13.768630431025516,-1.2101314001651904,3.4146536525494007,0.85652250715383,-2.5581311453955706,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.0659829124338378,-0.4202890494719139
batch_exploratory_0007,0,exploratory,-11.561952994938498,-13.768630431025516,-2.206677436087018,3.305199213764249,0.85652250715383,-2.448676706610419,1.45,1.3,-0.1499999999999999,1,1,1,-14,-2.0941770318818747,-0.40731707317076105
batch_exploratory_0008,0,exploratory,-18.50250743626856,-18.955562000661278,-0.4530545643927191,2.483134516018115,0.7166065235066661,-1.766527992511449,1.0333333333333334,1.2833333333333334,0.25,1,1,1,24,0.21232045011430145,-0.4964667596466742
batch_exploratory_0009,0,exploratory,-12.705160944059775,-13.768630431025516,-1.0634694869657402,3.929455000094025,0.85652250715383,-3.072932492940195,1.45,1.3,-0.1499999999999999,1,1,1,-14,-0.8545681664960609,-0.520522488553751
batch_exploratory_0010,0,exploratory,-12.597135240852472,-13.768630431025516,-1.1714951901730437,4.5386782892945625,0.85652250715383,-3.6821557821407325,1.45,1.3,-0.1499999999999999,1,1,1,-14,-0.855196101770229,-0.6340682979295879
batch_exploratory_0011,0,exploratory,-11.365439430087056,-13.768630431025516,-2.4031910009384596,3.65118913511054,0.85652250715383,-2.79466662795671,1.45,1.3,-0.1499999999999999,1,1,1,-14,-2.229053137465228,-0.46590450571619657
batch_exploratory_0012,0,exploratory,-13.821421647781284,-14.326282464481414,-0.5048608167001305,3.3517749598617286,0.8565225035868913,-2.4952524562748373,1.3,1.3,0.0,0,0,1,0,0.0,-0.5394786630229422
batch_exploratory_0013,0,exploratory,-13.842332239542023,-14.224742229909525,-0.3824099903675027,3.092721102663484,0.8567617674369217,-2.2359593352265623,1.2833333333333334,1.2833333333333334,0.0,0,0,1,0,0.0,-0.4535420098847258
batch_exploratory_0014,0,exploratory,-13.494757283911982,-13.777081030881476,-0.28232374696949414,3.3393123556978868,0.8565225020582208,-2.482789853639666,1.4,1.3,-0.09999999999999987,1,0,1,-9,0.0,-0.4779381908414029
batch_exploratory_0015,0,exploratory,-13.79122861510263,-14.209330079543959,-0.4181014644413281,3.422483885796286,0.85652249643368,-2.565961389362606,1.3333333333333333,1.3,-0.033333333333333215,1,0,1,-7,0.0,-0.542667844522954
batch_exploratory_0016,0,exploratory,-13.105360303623327,-13.768630431025516,-0.663270127402189,3.8163148712524553,0.85652250715383,-2.9597923640986252,1.45,1.3,-0.1499999999999999,1,1,1,-14,-0.4973344849679533,-0.4935143288084536
batch_exploratory_0017,0,exploratory,-13.788497880847823,-14.23194557143855,-0.44344769059072675,3.107558774111828,0.8565225066545352,-2.251036267457293,1.3,1.3,0.0,0,0,1,0,0.0,-0.4824568784181791
batch_exploratory_0018,0,exploratory,-11.82945461785119,-13.768630431025516,-1.9391758131743249,3.5396005959744734,0.85652250715383,-2.6830780888206434,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.8001312291279015,-0.4555208007507471
batch_exploratory_0019,0,exploratory,-11.148744958905702,-13.768630431025516,-2.6198854721198135,4.11619140409246,0.85652250715383,-3.2596688969386296,1.45,1.3,-0.1499999999999999,1,1,1,-14,-2.414685344097111,-0.5319562990782115
batch_exploratory_0020,0,exploratory,-17.98037150674627,-18.712460828309446,-0.7320893215631763,2.7169075039468282,0.7166065201939062,-2.000300983752922,1.0833333333333333,1.2833333333333334,0.20000000000000018,1,0,1,18,0.0,-0.5831735889244015
batch_exploratory_0021,0,exploratory,-12.302034055466633,-13.768630431025516,-1.4665963755588827,3.8501523893749514,0.85652250715383,-2.9936298822211214,1.45,1.3,-0.1499999999999999,1,1,1,-14,-1.2871649138206394,-0.47934002869438863
batch_exploratory_0022,0,exploratory,-13.61139188618606,-13.860494013174263,-0.2491021269882019,3.1026326117345135,0.856522508038104,-2.2461101036964095,1.4,1.3,-0.09999999999999987,1,0,1,-9,0.0,-0.4357868593361546
batch_exploratory_0023,0,exploratory,-13.173502904391453,-13.768630431025516,-0.5951275266340623,4.073913319911924,0.85652250715383,-3.2173908127580937,1.45,1.3,-0.1499999999999999,1,1,1,-14,-0.36380973275516126,-0.5441133365901569
batch_exploratory_0024,0,exploratory,-18.727664230985955,-18.955562000661278,-0.22789776967532305,2.8162771578481447,0.7166065235066661,-2.0996706343414786,1.0333333333333334,1.2833333333333334,0.25,1,1,1,24,0.4259782719076046,-0.5345622119815622
batch_exploratory_0025,0,exploratory,-13.653734656945492,-14.128735171187838,-0.47500051424234613,3.485752805094899,0.8565225077331462,-2.6292302973617527,1.3166666666666667,1.3,-0.016666666666666607,1,0,1,-3,0.0,-0.552089616544614
